content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
Oke,5,0,,2022-10-17 11:48:08,oke,['oke'],['oke'],['oke'],oke,['oke'],oke,Positif
"Armada bgs tp aplikasinya jauh dr kata bgs, setiap pesan tiket selalu tdk bs , mohon untuk di benahi agar setiap pengguna apkikasi ini dipermudah untuk boking tiket",2,0,2.5.7,2022-10-16 19:15:28,armada bgs tp aplikasinya jauh dr kata bgs setiap pesan tiket selalu tdk bs mohon untuk di benahi agar setiap pengguna apkikasi ini dipermudah untuk boking tiket,"['armada', 'bgs', 'tp', 'aplikasinya', 'jauh', 'dr', 'kata', 'bgs', 'setiap', 'pesan', 'tiket', 'selalu', 'tdk', 'bs', 'mohon', 'untuk', 'di', 'benahi', 'agar', 'setiap', 'pengguna', 'apkikasi', 'ini', 'dipermudah', 'untuk', 'boking', 'tiket']","['armada', 'bgs', 'tp', 'aplikasinya', 'dr', 'bgs', 'pesan', 'tiket', 'tdk', 'bs', 'benahi', 'pengguna', 'apkikasi', 'dipermudah', 'boking', 'tiket']","['armada', 'bgs', 'tp', 'aplikasi', 'dr', 'bgs', 'pesan', 'tiket', 'tdk', 'bs', 'benah', 'guna', 'apkikasi', 'mudah', 'boking', 'tiket']",armada bgs tp aplikasi dr bgs pesan tiket tdk bs benah guna apkikasi mudah boking tiket,"['armada', 'bgs', 'aplikasi', 'dr', 'bgs', 'pesan', 'tiket', 'benah', 'apkikasi', 'mudah', 'boking', 'tiket']",armada bgs aplikasi dr bgs pesan tiket benah apkikasi mudah boking tiket,Negatif
"Sering naik bis ini, nyaman...tetapiiiiii fasilitas WiFi nya tidak di kasih dengan alasan baru diperbaiki, sedangkan layar tv memakai koneksi WiFi,,tolong di perbaiki lagi layanan nya",2,0,,2022-10-16 19:08:11,sering naik bis ini nyamantetapiiiiii fasilitas wifi nya tidak di kasih dengan alasan baru diperbaiki sedangkan layar tv memakai koneksi wifitolong di perbaiki lagi layanan nya,"['sering', 'naik', 'bis', 'ini', 'nyamantetapiiiiii', 'fasilitas', 'wifi', 'nya', 'tidak', 'di', 'kasih', 'dengan', 'alasan', 'baru', 'diperbaiki', 'sedangkan', 'layar', 'tv', 'memakai', 'koneksi', 'wifitolong', 'di', 'perbaiki', 'lagi', 'layanan', 'nya']","['bis', 'nyamantetapiiiiii', 'fasilitas', 'wifi', 'kasih', 'alasan', 'diperbaiki', 'layar', 'tv', 'memakai', 'koneksi', 'wifitolong', 'perbaiki', 'layanan']","['bis', 'nyamantetapiiiiii', 'fasilitas', 'wifi', 'kasih', 'alas', 'baik', 'layar', 'tv', 'pakai', 'koneksi', 'wifitolong', 'baik', 'layan']",bis nyamantetapiiiiii fasilitas wifi kasih alas baik layar tv pakai koneksi wifitolong baik layan,"['bis', 'nyamantetapiiiiii', 'fasilitas', 'wifi', 'alas', 'layar', 'tv', 'pakai', 'koneksi', 'wifitolong', 'layan']",bis nyamantetapiiiiii fasilitas wifi alas layar tv pakai koneksi wifitolong layan,Negatif
Praktis & Cepat 👍,5,0,,2022-10-15 18:06:30,praktis cepat,"['praktis', 'cepat']","['praktis', 'cepat']","['praktis', 'cepat']",praktis cepat,"['praktis', 'cepat']",praktis cepat,Positif
CALL CENTER Bungurasih sering tidak membalas keluhan & pertanyaan,2,0,2.5.7,2022-10-14 02:55:56,call center bungurasih sering tidak membalas keluhan pertanyaan,"['call', 'center', 'bungurasih', 'sering', 'tidak', 'membalas', 'keluhan', 'pertanyaan']","['call', 'center', 'bungurasih', 'membalas', 'keluhan']","['call', 'center', 'bungurasih', 'balas', 'keluh']",call center bungurasih balas keluh,"['call', 'center', 'bungurasih', 'balas', 'keluh']",call center bungurasih balas keluh,Negatif
Lebih ditingkatkan lagi,5,0,2.5.7,2022-10-13 20:17:28,lebih ditingkatkan lagi,"['lebih', 'ditingkatkan', 'lagi']",['ditingkatkan'],['tingkat'],tingkat,['tingkat'],tingkat,Positif
Tidak nyaman dan skrng Rosalia perjalanan makin Lambat Terhambat Solar.. Masih ada Armada yg tidak ada Toilet..,1,0,,2022-10-08 13:03:03,tidak nyaman dan skrng rosalia perjalanan makin lambat terhambat solar masih ada armada yg tidak ada toilet,"['tidak', 'nyaman', 'dan', 'skrng', 'rosalia', 'perjalanan', 'makin', 'lambat', 'terhambat', 'solar', 'masih', 'ada', 'armada', 'yg', 'tidak', 'ada', 'toilet']","['nyaman', 'skrng', 'rosalia', 'perjalanan', 'lambat', 'terhambat', 'solar', 'armada', 'yg', 'toilet']","['nyaman', 'skrng', 'rosalia', 'jalan', 'lambat', 'hambat', 'solar', 'armada', 'yg', 'toilet']",nyaman skrng rosalia jalan lambat hambat solar armada yg toilet,"['nyaman', 'skrng', 'rosalia', 'jalan', 'lambat', 'hambat', 'solar', 'armada', 'toilet']",nyaman skrng rosalia jalan lambat hambat solar armada toilet,Negatif
Aplikasinya susah dlm menu pembayaran. Ketika sudah di boking dan waktu mau bayar dah habis. Tiket yg sdah d boking susah di klik dan mau d bayar susah. Bikin lah pembayaran nya diPermudah aja dlm hal pembayaran jangan setengah2 kl bikin aplikasi.,1,25,2.5.7,2022-10-07 09:13:03,aplikasinya susah dlm menu pembayaran ketika sudah di boking dan waktu mau bayar dah habis tiket yg sdah d boking susah di klik dan mau d bayar susah bikin lah pembayaran nya dipermudah aja dlm hal pembayaran jangan setengah kl bikin aplikasi,"['aplikasinya', 'susah', 'dlm', 'menu', 'pembayaran', 'ketika', 'sudah', 'di', 'boking', 'dan', 'waktu', 'mau', 'bayar', 'dah', 'habis', 'tiket', 'yg', 'sdah', 'd', 'boking', 'susah', 'di', 'klik', 'dan', 'mau', 'd', 'bayar', 'susah', 'bikin', 'lah', 'pembayaran', 'nya', 'dipermudah', 'aja', 'dlm', 'hal', 'pembayaran', 'jangan', 'setengah', 'kl', 'bikin', 'aplikasi']","['aplikasinya', 'susah', 'dlm', 'menu', 'pembayaran', 'boking', 'waktu', 'bayar', 'dah', 'habis', 'tiket', 'yg', 'sdah', 'boking', 'susah', 'klik', 'bayar', 'susah', 'bikin', 'pembayaran', 'dipermudah', 'aja', 'dlm', 'pembayaran', 'kl', 'bikin', 'aplikasi']","['aplikasi', 'susah', 'dlm', 'menu', 'bayar', 'boking', 'waktu', 'bayar', 'dah', 'habis', 'tiket', 'yg', 'sdah', 'boking', 'susah', 'klik', 'bayar', 'susah', 'bikin', 'bayar', 'mudah', 'aja', 'dlm', 'bayar', 'kl', 'bikin', 'aplikasi']",aplikasi susah dlm menu bayar boking waktu bayar dah habis tiket yg sdah boking susah klik bayar susah bikin bayar mudah aja dlm bayar kl bikin aplikasi,"['aplikasi', 'susah', 'dlm', 'menu', 'bayar', 'boking', 'waktu', 'bayar', 'dah', 'habis', 'tiket', 'sdah', 'boking', 'susah', 'klik', 'bayar', 'susah', 'bikin', 'bayar', 'mudah', 'dlm', 'bayar', 'kl', 'bikin', 'aplikasi']",aplikasi susah dlm menu bayar boking waktu bayar dah habis tiket sdah boking susah klik bayar susah bikin bayar mudah dlm bayar kl bikin aplikasi,Negatif
"Biasanya pelayanan bagus. Tp waktu mau pulang dr Ponorogo ke bogor, harus bayar biaya tambahan bagasi lagi (kata petugas nya dengan alasan karena pembelian tiket nya secara online), dan petugas menyampaikan bahwa kalau beli tiket online seharusnya gak dapat makan juga, sehingga menyarankan untik lain waltu kalau beli tiket langsung ke pool saja. Padahal saya beli melalui aplikasi dari rosalia indah sendiri. Mohon diperbaiki manajemen nya.",3,9,2.5.7,2022-10-05 13:34:38,biasanya pelayanan bagus tp waktu mau pulang dr ponorogo ke bogor harus bayar biaya tambahan bagasi lagi kata petugas nya dengan alasan karena pembelian tiket nya secara online dan petugas menyampaikan bahwa kalau beli tiket online seharusnya gak dapat makan juga sehingga menyarankan untik lain waltu kalau beli tiket langsung ke pool saja padahal saya beli melalui aplikasi dari rosalia indah sendiri mohon diperbaiki manajemen nya,"['biasanya', 'pelayanan', 'bagus', 'tp', 'waktu', 'mau', 'pulang', 'dr', 'ponorogo', 'ke', 'bogor', 'harus', 'bayar', 'biaya', 'tambahan', 'bagasi', 'lagi', 'kata', 'petugas', 'nya', 'dengan', 'alasan', 'karena', 'pembelian', 'tiket', 'nya', 'secara', 'online', 'dan', 'petugas', 'menyampaikan', 'bahwa', 'kalau', 'beli', 'tiket', 'online', 'seharusnya', 'gak', 'dapat', 'makan', 'juga', 'sehingga', 'menyarankan', 'untik', 'lain', 'waltu', 'kalau', 'beli', 'tiket', 'langsung', 'ke', 'pool', 'saja', 'padahal', 'saya', 'beli', 'melalui', 'aplikasi', 'dari', 'rosalia', 'indah', 'sendiri', 'mohon', 'diperbaiki', 'manajemen', 'nya']","['pelayanan', 'bagus', 'tp', 'waktu', 'pulang', 'dr', 'ponorogo', 'bogor', 'bayar', 'biaya', 'tambahan', 'bagasi', 'petugas', 'alasan', 'pembelian', 'tiket', 'online', 'petugas', 'beli', 'tiket', 'online', 'gak', 'makan', 'menyarankan', 'untik', 'waltu', 'beli', 'tiket', 'pool', 'beli', 'aplikasi', 'rosalia', 'indah', 'diperbaiki', 'manajemen']","['layan', 'bagus', 'tp', 'waktu', 'pulang', 'dr', 'ponorogo', 'bogor', 'bayar', 'biaya', 'tambah', 'bagasi', 'tugas', 'alas', 'beli', 'tiket', 'online', 'tugas', 'beli', 'tiket', 'online', 'gak', 'makan', 'saran', 'untik', 'waltu', 'beli', 'tiket', 'pool', 'beli', 'aplikasi', 'rosalia', 'indah', 'baik', 'manajemen']",layan bagus tp waktu pulang dr ponorogo bogor bayar biaya tambah bagasi tugas alas beli tiket online tugas beli tiket online gak makan saran untik waltu beli tiket pool beli aplikasi rosalia indah baik manajemen,"['layan', 'bagus', 'waktu', 'pulang', 'dr', 'ponorogo', 'bogor', 'bayar', 'biaya', 'bagasi', 'tugas', 'alas', 'beli', 'tiket', 'online', 'tugas', 'beli', 'tiket', 'online', 'makan', 'saran', 'untik', 'waltu', 'beli', 'tiket', 'pool', 'beli', 'aplikasi', 'rosalia', 'indah', 'manajemen']",layan bagus waktu pulang dr ponorogo bogor bayar biaya bagasi tugas alas beli tiket online tugas beli tiket online makan saran untik waltu beli tiket pool beli aplikasi rosalia indah manajemen,Netral
"Bis bocor nomer bangku 4c dan 4d no bis no. 472,,,, kayaknya udah lama...... Karena Bru ngomong minta tukar bantal petugasnya langsung ngomong no 4c dan 4d... Tolong di perhatikan..... Terima kasih",1,0,2.5.7,2022-10-03 16:24:18,bis bocor nomer bangku c dan d no bis no kayaknya udah lama karena bru ngomong minta tukar bantal petugasnya langsung ngomong no c dan d tolong di perhatikan terima kasih,"['bis', 'bocor', 'nomer', 'bangku', 'c', 'dan', 'd', 'no', 'bis', 'no', 'kayaknya', 'udah', 'lama', 'karena', 'bru', 'ngomong', 'minta', 'tukar', 'bantal', 'petugasnya', 'langsung', 'ngomong', 'no', 'c', 'dan', 'd', 'tolong', 'di', 'perhatikan', 'terima', 'kasih']","['bis', 'bocor', 'nomer', 'bangku', 'no', 'bis', 'no', 'kayaknya', 'udah', 'bru', 'ngomong', 'tukar', 'bantal', 'petugasnya', 'ngomong', 'no', 'tolong', 'perhatikan', 'terima', 'kasih']","['bis', 'bocor', 'nomer', 'bangku', 'no', 'bis', 'no', 'kayak', 'udah', 'bru', 'ngomong', 'tukar', 'bantal', 'tugas', 'ngomong', 'no', 'tolong', 'perhati', 'terima', 'kasih']",bis bocor nomer bangku no bis no kayak udah bru ngomong tukar bantal tugas ngomong no tolong perhati terima kasih,"['bis', 'bocor', 'nomer', 'bangku', 'no', 'bis', 'no', 'kayak', 'bru', 'ngomong', 'tukar', 'bantal', 'tugas', 'ngomong', 'no', 'tolong', 'perhati', 'terima']",bis bocor nomer bangku no bis no kayak bru ngomong tukar bantal tugas ngomong no tolong perhati terima,Negatif
"Pertama kali download,pertama kali order. Saya fikir,Cukup mudah dimengerti. Pelayanan dari Agen cukup Baik profesional,. Hanya saja Jika bisa diterima masukan dari saya,Begitu memilih pembayaran melalui VA jangan dikenakan Biaya Admin Rp 6.500 dong,Seperti aplikasi Lain Lain.",5,4,2.5.7,2022-10-03 08:18:58,pertama kali downloadpertama kali order saya fikircukup mudah dimengerti pelayanan dari agen cukup baik profesional hanya saja jika bisa diterima masukan dari sayabegitu memilih pembayaran melalui va jangan dikenakan biaya admin rp dongseperti aplikasi lain lain,"['pertama', 'kali', 'downloadpertama', 'kali', 'order', 'saya', 'fikircukup', 'mudah', 'dimengerti', 'pelayanan', 'dari', 'agen', 'cukup', 'baik', 'profesional', 'hanya', 'saja', 'jika', 'bisa', 'diterima', 'masukan', 'dari', 'sayabegitu', 'memilih', 'pembayaran', 'melalui', 'va', 'jangan', 'dikenakan', 'biaya', 'admin', 'rp', 'dongseperti', 'aplikasi', 'lain', 'lain']","['downloadpertama', 'order', 'fikircukup', 'mudah', 'dimengerti', 'pelayanan', 'agen', 'profesional', 'diterima', 'masukan', 'sayabegitu', 'memilih', 'pembayaran', 'va', 'dikenakan', 'biaya', 'admin', 'rp', 'dongseperti', 'aplikasi']","['downloadpertama', 'order', 'fikircukup', 'mudah', 'erti', 'layan', 'agen', 'profesional', 'terima', 'masuk', 'sayabegitu', 'pilih', 'bayar', 'va', 'kena', 'biaya', 'admin', 'rp', 'dongseperti', 'aplikasi']",downloadpertama order fikircukup mudah erti layan agen profesional terima masuk sayabegitu pilih bayar va kena biaya admin rp dongseperti aplikasi,"['downloadpertama', 'order', 'fikircukup', 'mudah', 'erti', 'layan', 'agen', 'profesional', 'terima', 'sayabegitu', 'pilih', 'bayar', 'va', 'biaya', 'admin', 'rp', 'dongseperti', 'aplikasi']",downloadpertama order fikircukup mudah erti layan agen profesional terima sayabegitu pilih bayar va biaya admin rp dongseperti aplikasi,Positif
ga berfungsi,1,0,2.5.7,2022-10-02 18:59:55,ga berfungsi,"['ga', 'berfungsi']","['ga', 'berfungsi']","['ga', 'fungsi']",ga fungsi,['fungsi'],fungsi,Negatif
"Keberangkatan bus nggak sesuai dengan jadwal, delay kelamaan",2,0,2.5.7,2022-10-01 15:20:28,keberangkatan bus nggak sesuai dengan jadwal delay kelamaan,"['keberangkatan', 'bus', 'nggak', 'sesuai', 'dengan', 'jadwal', 'delay', 'kelamaan']","['keberangkatan', 'bus', 'nggak', 'sesuai', 'jadwal', 'delay']","['berangkat', 'bus', 'nggak', 'sesuai', 'jadwal', 'delay']",berangkat bus nggak sesuai jadwal delay,"['berangkat', 'bus', 'nggak', 'sesuai', 'jadwal', 'delay']",berangkat bus nggak sesuai jadwal delay,Negatif
"Aplikasinya sudah lumayan bagus, namun perlu lebih ditingkatkan, terutama untuk opsi pembayarannya, kemudian untuk pemilihan rute nya setidaknya ada estimasi waktu dan transit dimana saja.",3,2,2.5.7,2022-09-30 12:42:03,aplikasinya sudah lumayan bagus namun perlu lebih ditingkatkan terutama untuk opsi pembayarannya kemudian untuk pemilihan rute nya setidaknya ada estimasi waktu dan transit dimana saja,"['aplikasinya', 'sudah', 'lumayan', 'bagus', 'namun', 'perlu', 'lebih', 'ditingkatkan', 'terutama', 'untuk', 'opsi', 'pembayarannya', 'kemudian', 'untuk', 'pemilihan', 'rute', 'nya', 'setidaknya', 'ada', 'estimasi', 'waktu', 'dan', 'transit', 'dimana', 'saja']","['aplikasinya', 'lumayan', 'bagus', 'ditingkatkan', 'opsi', 'pembayarannya', 'pemilihan', 'rute', 'estimasi', 'waktu', 'transit', 'dimana']","['aplikasi', 'lumayan', 'bagus', 'tingkat', 'opsi', 'bayar', 'pilih', 'rute', 'estimasi', 'waktu', 'transit', 'mana']",aplikasi lumayan bagus tingkat opsi bayar pilih rute estimasi waktu transit mana,"['aplikasi', 'lumayan', 'bagus', 'tingkat', 'opsi', 'bayar', 'pilih', 'rute', 'estimasi', 'waktu', 'transit']",aplikasi lumayan bagus tingkat opsi bayar pilih rute estimasi waktu transit,Netral
"Semakin lama rosalia pelayanan buruk, dari saat di resto subang, lauknya gak ada di diemin, air abis, ac bus bocor bikin basah, dll",2,0,,2022-09-30 11:11:17,semakin lama rosalia pelayanan buruk dari saat di resto subang lauknya gak ada di diemin air abis ac bus bocor bikin basah dll,"['semakin', 'lama', 'rosalia', 'pelayanan', 'buruk', 'dari', 'saat', 'di', 'resto', 'subang', 'lauknya', 'gak', 'ada', 'di', 'diemin', 'air', 'abis', 'ac', 'bus', 'bocor', 'bikin', 'basah', 'dll']","['rosalia', 'pelayanan', 'buruk', 'resto', 'subang', 'lauknya', 'gak', 'diemin', 'air', 'abis', 'ac', 'bus', 'bocor', 'bikin', 'basah', 'dll']","['rosalia', 'layan', 'buruk', 'resto', 'subang', 'lauk', 'gak', 'diemin', 'air', 'abis', 'ac', 'bus', 'bocor', 'bikin', 'basah', 'dll']",rosalia layan buruk resto subang lauk gak diemin air abis ac bus bocor bikin basah dll,"['rosalia', 'layan', 'buruk', 'resto', 'subang', 'lauk', 'diemin', 'air', 'abis', 'ac', 'bus', 'bocor', 'bikin', 'basah', 'dll']",rosalia layan buruk resto subang lauk diemin air abis ac bus bocor bikin basah dll,Negatif
Gimana sih saya pernah naik bis dan salah beli jumlah tiket gk bisa di return 1 tiket nya terus mana lagi kamar mandi kecil pesing pula pernah juga saya di tinggalin pas ke kamar mandi buruk pokoknya,1,0,,2022-09-25 16:44:00,gimana sih saya pernah naik bis dan salah beli jumlah tiket gk bisa di return tiket nya terus mana lagi kamar mandi kecil pesing pula pernah juga saya di tinggalin pas ke kamar mandi buruk pokoknya,"['gimana', 'sih', 'saya', 'pernah', 'naik', 'bis', 'dan', 'salah', 'beli', 'jumlah', 'tiket', 'gk', 'bisa', 'di', 'return', 'tiket', 'nya', 'terus', 'mana', 'lagi', 'kamar', 'mandi', 'kecil', 'pesing', 'pula', 'pernah', 'juga', 'saya', 'di', 'tinggalin', 'pas', 'ke', 'kamar', 'mandi', 'buruk', 'pokoknya']","['gimana', 'sih', 'bis', 'salah', 'beli', 'tiket', 'gk', 'return', 'tiket', 'kamar', 'mandi', 'pesing', 'tinggalin', 'pas', 'kamar', 'mandi', 'buruk', 'pokoknya']","['gimana', 'sih', 'bis', 'salah', 'beli', 'tiket', 'gk', 'return', 'tiket', 'kamar', 'mandi', 'pesing', 'tinggalin', 'pas', 'kamar', 'mandi', 'buruk', 'pokok']",gimana sih bis salah beli tiket gk return tiket kamar mandi pesing tinggalin pas kamar mandi buruk pokok,"['gimana', 'bis', 'salah', 'beli', 'tiket', 'return', 'tiket', 'kamar', 'mandi', 'pesing', 'tinggalin', 'kamar', 'mandi', 'buruk', 'pokok']",gimana bis salah beli tiket return tiket kamar mandi pesing tinggalin kamar mandi buruk pokok,Negatif
Bagus,5,0,2.5.0,2022-09-24 19:13:06,bagus,['bagus'],['bagus'],['bagus'],bagus,['bagus'],bagus,Positif
"Pembayaran masih ribet gak banyak bank bisa bayar, waktu mau bayar pun susah, mau pesen tiket pun kalau mau kembali malah ulang dari awal, semoga cepet di perbaiki",2,4,2.5.7,2022-09-23 06:38:16,pembayaran masih ribet gak banyak bank bisa bayar waktu mau bayar pun susah mau pesen tiket pun kalau mau kembali malah ulang dari awal semoga cepet di perbaiki,"['pembayaran', 'masih', 'ribet', 'gak', 'banyak', 'bank', 'bisa', 'bayar', 'waktu', 'mau', 'bayar', 'pun', 'susah', 'mau', 'pesen', 'tiket', 'pun', 'kalau', 'mau', 'kembali', 'malah', 'ulang', 'dari', 'awal', 'semoga', 'cepet', 'di', 'perbaiki']","['pembayaran', 'ribet', 'gak', 'bank', 'bayar', 'waktu', 'bayar', 'susah', 'pesen', 'tiket', 'ulang', 'semoga', 'cepet', 'perbaiki']","['bayar', 'ribet', 'gak', 'bank', 'bayar', 'waktu', 'bayar', 'susah', 'sen', 'tiket', 'ulang', 'moga', 'cepet', 'baik']",bayar ribet gak bank bayar waktu bayar susah sen tiket ulang moga cepet baik,"['bayar', 'ribet', 'bank', 'bayar', 'waktu', 'bayar', 'susah', 'sen', 'tiket', 'ulang', 'moga', 'cepet']",bayar ribet bank bayar waktu bayar susah sen tiket ulang moga cepet,Negatif
Mungkin masukan buat rosalia untuk apk nya metode pembayaran nya ditambah lagi bank nya + jika kita keluar harus nya kode pembayaran itu masih bisa di cek ini tidak coba belajar dari apk lain seperti traveloka karna agak menyusahkan user jika gak sengaja ke close dan kode booking gak bisa di cek + metode pembayaran nya gak bisa di ubah,2,4,2.5.7,2022-09-21 21:32:29,mungkin masukan buat rosalia untuk apk nya metode pembayaran nya ditambah lagi bank nya jika kita keluar harus nya kode pembayaran itu masih bisa di cek ini tidak coba belajar dari apk lain seperti traveloka karna agak menyusahkan user jika gak sengaja ke close dan kode booking gak bisa di cek metode pembayaran nya gak bisa di ubah,"['mungkin', 'masukan', 'buat', 'rosalia', 'untuk', 'apk', 'nya', 'metode', 'pembayaran', 'nya', 'ditambah', 'lagi', 'bank', 'nya', 'jika', 'kita', 'keluar', 'harus', 'nya', 'kode', 'pembayaran', 'itu', 'masih', 'bisa', 'di', 'cek', 'ini', 'tidak', 'coba', 'belajar', 'dari', 'apk', 'lain', 'seperti', 'traveloka', 'karna', 'agak', 'menyusahkan', 'user', 'jika', 'gak', 'sengaja', 'ke', 'close', 'dan', 'kode', 'booking', 'gak', 'bisa', 'di', 'cek', 'metode', 'pembayaran', 'nya', 'gak', 'bisa', 'di', 'ubah']","['masukan', 'rosalia', 'apk', 'metode', 'pembayaran', 'ditambah', 'bank', 'kode', 'pembayaran', 'cek', 'coba', 'belajar', 'apk', 'traveloka', 'karna', 'menyusahkan', 'user', 'gak', 'sengaja', 'close', 'kode', 'booking', 'gak', 'cek', 'metode', 'pembayaran', 'gak', 'ubah']","['masuk', 'rosalia', 'apk', 'metode', 'bayar', 'tambah', 'bank', 'kode', 'bayar', 'cek', 'coba', 'ajar', 'apk', 'traveloka', 'karna', 'susah', 'user', 'gak', 'sengaja', 'close', 'kode', 'booking', 'gak', 'cek', 'metode', 'bayar', 'gak', 'ubah']",masuk rosalia apk metode bayar tambah bank kode bayar cek coba ajar apk traveloka karna susah user gak sengaja close kode booking gak cek metode bayar gak ubah,"['rosalia', 'apk', 'metode', 'bayar', 'bank', 'kode', 'bayar', 'cek', 'ajar', 'apk', 'traveloka', 'karna', 'susah', 'user', 'sengaja', 'close', 'kode', 'booking', 'cek', 'metode', 'bayar', 'ubah']",rosalia apk metode bayar bank kode bayar cek ajar apk traveloka karna susah user sengaja close kode booking cek metode bayar ubah,Negatif
Dua dulu,2,0,,2022-09-21 21:08:28,dua dulu,"['dua', 'dulu']",[],[],,[],,Negatif
"Pd tgl 12 sep 22 jam 14.00 kami menggunakan rosalia indah no bus 169 dari poll rosin jogja - metro.ditengah perjalan sehabis makan mlm di resto rosin,kita melanjutkan perjalanan tetapi sopir utama(krn kelelahan) digantikan oleh sopir pemgganti.nah yg menjadi keluhan saya sbg pelanggan lama rosin adl sopir pengganti sangat ugal ugal sangat membahayakan NYAWA penumpang & hampir 80% didalam penumpang mabuk semua.beruntungny sesampai disubang akhirnya sopir utama menggantikannya lg smp dgn metro",1,0,2.5.7,2022-09-20 21:23:37,pd tgl sep jam kami menggunakan rosalia indah no bus dari poll rosin jogja metroditengah perjalan sehabis makan mlm di resto rosinkita melanjutkan perjalanan tetapi sopir utamakrn kelelahan digantikan oleh sopir pemggantinah yg menjadi keluhan saya sbg pelanggan lama rosin adl sopir pengganti sangat ugal ugal sangat membahayakan nyawa penumpang hampir didalam penumpang mabuk semuaberuntungny sesampai disubang akhirnya sopir utama menggantikannya lg smp dgn metro,"['pd', 'tgl', 'sep', 'jam', 'kami', 'menggunakan', 'rosalia', 'indah', 'no', 'bus', 'dari', 'poll', 'rosin', 'jogja', 'metroditengah', 'perjalan', 'sehabis', 'makan', 'mlm', 'di', 'resto', 'rosinkita', 'melanjutkan', 'perjalanan', 'tetapi', 'sopir', 'utamakrn', 'kelelahan', 'digantikan', 'oleh', 'sopir', 'pemggantinah', 'yg', 'menjadi', 'keluhan', 'saya', 'sbg', 'pelanggan', 'lama', 'rosin', 'adl', 'sopir', 'pengganti', 'sangat', 'ugal', 'ugal', 'sangat', 'membahayakan', 'nyawa', 'penumpang', 'hampir', 'didalam', 'penumpang', 'mabuk', 'semuaberuntungny', 'sesampai', 'disubang', 'akhirnya', 'sopir', 'utama', 'menggantikannya', 'lg', 'smp', 'dgn', 'metro']","['pd', 'tgl', 'sep', 'jam', 'rosalia', 'indah', 'no', 'bus', 'poll', 'rosin', 'jogja', 'metroditengah', 'perjalan', 'sehabis', 'makan', 'mlm', 'resto', 'rosinkita', 'melanjutkan', 'perjalanan', 'sopir', 'utamakrn', 'kelelahan', 'digantikan', 'sopir', 'pemggantinah', 'yg', 'keluhan', 'sbg', 'pelanggan', 'rosin', 'adl', 'sopir', 'pengganti', 'ugal', 'ugal', 'membahayakan', 'nyawa', 'penumpang', 'didalam', 'penumpang', 'mabuk', 'semuaberuntungny', 'disubang', 'sopir', 'utama', 'menggantikannya', 'lg', 'smp', 'dgn', 'metro']","['pd', 'tgl', 'sep', 'jam', 'rosalia', 'indah', 'no', 'bus', 'poll', 'rosin', 'jogja', 'metroditengah', 'jalan', 'habis', 'makan', 'mlm', 'resto', 'rosinkita', 'lanjut', 'jalan', 'sopir', 'utamakrn', 'lelah', 'ganti', 'sopir', 'pemggantinah', 'yg', 'keluh', 'sbg', 'langgan', 'rosin', 'adl', 'sopir', 'ganti', 'ugal', 'ugal', 'bahaya', 'nyawa', 'tumpang', 'dalam', 'tumpang', 'mabuk', 'semuaberuntungny', 'subang', 'sopir', 'utama', 'ganti', 'lg', 'smp', 'dgn', 'metro']",pd tgl sep jam rosalia indah no bus poll rosin jogja metroditengah jalan habis makan mlm resto rosinkita lanjut jalan sopir utamakrn lelah ganti sopir pemggantinah yg keluh sbg langgan rosin adl sopir ganti ugal ugal bahaya nyawa tumpang dalam tumpang mabuk semuaberuntungny subang sopir utama ganti lg smp dgn metro,"['pd', 'tgl', 'sep', 'jam', 'rosalia', 'indah', 'no', 'bus', 'poll', 'rosin', 'jogja', 'metroditengah', 'jalan', 'habis', 'makan', 'mlm', 'resto', 'rosinkita', 'jalan', 'sopir', 'utamakrn', 'lelah', 'ganti', 'sopir', 'pemggantinah', 'keluh', 'sbg', 'langgan', 'rosin', 'adl', 'sopir', 'ganti', 'ugal', 'ugal', 'bahaya', 'nyawa', 'tumpang', 'tumpang', 'mabuk', 'semuaberuntungny', 'subang', 'sopir', 'utama', 'ganti', 'lg', 'smp', 'metro']",pd tgl sep jam rosalia indah no bus poll rosin jogja metroditengah jalan habis makan mlm resto rosinkita jalan sopir utamakrn lelah ganti sopir pemggantinah keluh sbg langgan rosin adl sopir ganti ugal ugal bahaya nyawa tumpang tumpang mabuk semuaberuntungny subang sopir utama ganti lg smp metro,Negatif
Ga fungsi,1,0,2.5.7,2022-09-15 22:24:56,ga fungsi,"['ga', 'fungsi']","['ga', 'fungsi']","['ga', 'fungsi']",ga fungsi,['fungsi'],fungsi,Negatif
Sesuai dengan experience,5,0,2.5.7,2022-09-15 14:03:37,sesuai dengan experience,"['sesuai', 'dengan', 'experience']","['sesuai', 'experience']","['sesuai', 'experience']",sesuai experience,"['sesuai', 'experience']",sesuai experience,Positif
